UserId,AttractionType,AvgRating,Visits
14,Nature & Wildlife Areas,4.0,1
14,Points of Interest & Landmarks,5.0,2
16,Beaches,5.0,2
16,Nature & Wildlife Areas,4.25,4
16,Points of Interest & Landmarks,5.0,1
16,Religious Sites,5.0,1
16,Water Parks,5.0,2
20,Water Parks,4.0,1
23,Points of Interest & Landmarks,5.0,1
25,National Parks,5.0,1
26,Points of Interest & Landmarks,5.0,1
27,Nature & Wildlife Areas,4.0,1
28,Waterfalls,5.0,1
29,Nature & Wildlife Areas,5.0,1
32,Nature & Wildlife Areas,4.0,1
33,Nature & Wildlife Areas,4.0,1
34,Nature & Wildlife Areas,4.0,1
37,Waterfalls,4.0,1
39,Beaches,4.0,1
42,Water Parks,4.0,1
48,Waterfalls,3.0,1
51,Nature & Wildlife Areas,5.0,1
52,Nature & Wildlife Areas,3.0,1
54,Religious Sites,3.0,1
56,Nature & Wildlife Areas,1.0,1
57,Points of Interest & Landmarks,3.0,1
59,Beaches,3.0,1
59,Nature & Wildlife Areas,5.0,1
60,Points of Interest & Landmarks,5.0,1
61,Beaches,5.0,1
61,Nature & Wildlife Areas,5.0,1
65,Nature & Wildlife Areas,5.0,1
67,Points of Interest & Landmarks,5.0,1
67,Waterfalls,3.0,1
70,Nature & Wildlife Areas,5.0,1
72,Points of Interest & Landmarks,5.0,1
79,Waterfalls,3.0,1
83,Beaches,5.0,1
85,Beaches,5.0,1
85,Nature & Wildlife Areas,5.0,1
90,Beaches,5.0,2
90,Points of Interest & Landmarks,5.0,1
92,Nature & Wildlife Areas,5.0,1
92,Waterfalls,5.0,1
94,Beaches,5.0,1
97,Nature & Wildlife Areas,5.0,1
98,Beaches,3.0,1
102,Beaches,3.0,1
103,Beaches,5.0,1
103,Nature & Wildlife Areas,4.0,1
103,Water Parks,5.0,1
112,Beaches,5.0,1
113,Nature & Wildlife Areas,4.0,1
116,Points of Interest & Landmarks,2.0,1
117,Nature & Wildlife Areas,4.0,1
118,Nature & Wildlife Areas,5.0,1
119,Water Parks,5.0,1
122,Nature & Wildlife Areas,5.0,1
125,Beaches,4.0,1
125,Points of Interest & Landmarks,4.0,1
129,Nature & Wildlife Areas,4.0,1
129,Points of Interest & Landmarks,5.0,1
131,Waterfalls,4.0,1
133,Points of Interest & Landmarks,5.0,1
137,Historic Sites,3.0,1
137,Nature & Wildlife Areas,5.0,1
139,Beaches,5.0,1
142,Religious Sites,4.0,1
147,Nature & Wildlife Areas,3.0,1
147,Religious Sites,4.0,2
149,Beaches,3.0,1
152,Water Parks,5.0,1
153,Nature & Wildlife Areas,3.0,1
154,Water Parks,5.0,1
155,Beaches,2.0,1
156,Points of Interest & Landmarks,4.0,1
157,Beaches,5.0,1
158,Water Parks,5.0,1
160,Points of Interest & Landmarks,3.0,2
162,Water Parks,5.0,1
166,Beaches,3.0,1
170,Religious Sites,2.0,1
176,Beaches,4.0,1
177,Religious Sites,5.0,1
180,Points of Interest & Landmarks,5.0,1
182,Religious Sites,4.0,1
183,Beaches,5.0,1
183,Nature & Wildlife Areas,4.0,1
